 Date,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量 
 20100104,a1009,20100104,4038,4026,4080,4090,4049,4057,4069,31,43,321838,1309575.66,284296 
 20100105,a1009,20100105,4057,4069,4067,4082,4060,4066,4070,-3,1,253640,1032415.2,283384 
 20100106,a1009,20100106,4066,4070,4066,4194,4057,4154,4140,84,70,860812,3564243.02,352830 
 20100107,a1009,20100107,4154,4140,4165,4188,3975,4044,4090,-96,-50,705704,2886379.46,297236 
 20100108,a1009,20100108,4044,4090,4040,4050,3947,3981,4000,-109,-90,526594,2106492.62,270074 
 20100111,a1009,20100111,3981,4000,4012,4050,4012,4031,4035,31,35,316116,1275745.51,270738 
 20100112,a1009,20100112,4031,4035,4000,4029,3981,4004,4004,-31,-31,447848,1793378.68,271068 
 20100113,a1009,20100113,4004,4004,3905,3938,3896,3909,3917,-95,-87,300960,1178993.33,260966 
 20100114,a1009,20100114,3909,3917,3943,3943,3918,3919,3931,2,14,190364,748376.07,259500 
 20100115,a1009,20100115,3919,3931,3905,3949,3902,3915,3928,-16,-3,313576,1232023.38,265124 
 20100118,a1009,20100118,3915,3928,3908,3925,3890,3909,3908,-19,-20,249986,976977.45,269332 
 20100119,a1009,20100119,3909,3908,3935,3935,3910,3919,3921,11,13,167968,658724.03,274202 
 20100120,a1009,20100120,3919,3921,3910,3929,3858,3861,3881,-60,-40,335400,1301796.66,290088 
 20100121,a1009,20100121,3861,3881,3860,3903,3852,3901,3878,20,-3,271388,1052480.39,280512 
 20100122,a1009,20100122,3901,3878,3887,3893,3837,3889,3872,11,-6,280556,1086413.02,270304 
 20100125,a1009,20100125,3889,3872,3878,3926,3875,3911,3907,39,35,337600,1319098.17,277594 
 20100126,a1009,20100126,3911,3907,3910,3930,3883,3885,3904,-22,-3,470020,1834998.5,278582 
 20100127,a1009,20100127,3885,3904,3905,3938,3900,3922,3920,18,16,618382,2424612.58,296746 
 20100128,a1009,20100128,3922,3920,3900,3900,3842,3863,3865,-57,-55,401078,1550541.43,277646 
 20100129,a1009,20100129,3863,3865,3870,3884,3850,3853,3868,-12,3,260046,1006095.76,264630 
 20100201,a1009,20100201,3853,3868,3839,3849,3760,3768,3795,-100,-73,404240,1534095.33,282970 
 20100202,a1009,20100202,3768,3795,3785,3798,3728,3735,3755,-60,-40,374218,1405390.47,279460 
 20100203,a1009,20100203,3735,3755,3771,3785,3744,3782,3767,27,12,291838,1099613.11,271958 
 20100204,a1009,20100204,3782,3767,3740,3760,3720,3755,3742,-12,-25,250890,938905.99,274098 
 20100205,a1009,20100205,3755,3742,3740,3793,3728,3785,3777,43,35,539114,2036493.09,280652 
 20100208,a1009,20100208,3785,3777,3810,3825,3801,3812,3812,35,35,224846,857133.93,275382 
 20100209,a1009,20100209,3812,3812,3812,3819,3796,3809,3807,-3,-5,141526,538887.65,271300 
 20100210,a1009,20100210,3809,3807,3807,3815,3748,3769,3779,-38,-28,302080,1141588.46,273654 
 20100211,a1009,20100211,3769,3779,3807,3828,3784,3798,3807,19,28,243738,928005.44,251010 
 20100212,a1009,20100212,3798,3807,3801,3808,3763,3776,3780,-31,-27,133432,504474.68,246028 
 20100222,a1009,20100222,3776,3780,3815,3850,3800,3819,3816,39,36,171364,653926.18,249340 
 20100223,a1009,20100223,3819,3816,3830,3878,3825,3874,3854,58,38,342832,1321529.2,269414 
 20100224,a1009,20100224,3874,3854,3851,3867,3848,3858,3858,4,4,204128,787581.92,261240 
 20100225,a1009,20100225,3858,3858,3867,3874,3825,3838,3849,-20,-9,205796,792260.07,252990 
